Day_0,Day_T,Time_0,Time_T,Duration,Moscow,Nizhny,Night_I,Night_A,Train,Note
19-Oct-22,19-Oct-22,10:00,12:35,155,0.00,1.00,0.00,0.00,0.00,
29-Oct-22,30-Oct-22,17:20,14:45,1285,0.00,1.00,1.00,0.00,0.00,
31-Oct-22,31-Oct-22,20:00,22:30,150,0.00,1.00,0.00,0.00,0.00,
1-Nov-22,2-Nov-22,20:50,10:10,800,0.00,1.00,1.00,0.00,0.00,
3-Nov-22,4-Nov-22,21:45,9:40,715,0.00,1.00,1.00,0.00,2.00,
6-Nov-22,6-Nov-22,13:35,20:00,385,0.00,1.00,0.00,0.00,2.00,
8-Nov-22,9-Nov-22,20:00,12:55,1015,0.00,1.00,1.00,0.00,0.00,
11-Nov-22,11-Nov-22,18:30,23:20,290,0.00,1.00,0.00,0.00,0.00,
19-Nov-22,20-Nov-22,14:35,11:20,1245,0.00,1.00,0.00,1.00,0.00,
25-Nov-22,26-Nov-22,18:30,7:45,795,0.00,1.00,1.00,0.00,0.00,
1-Dec-22,2-Dec-22,20:55,14:10,1035,0.00,1.00,1.00,0.00,0.00,
2-Dec-22,3-Dec-22,22:05,22:05,1440,0.00,1.00,1.00,0.00,0.00,
7-Dec-22,7-Dec-22,10:10,12:30,140,0.00,1.00,0.00,0.00,1.00,
11-Dec-22,11-Dec-22,14:10,20:10,360,0.00,1.00,0.00,0.00,0.00,
12-Dec-22,12-Dec-22,10:00,16:15,375,0.00,1.00,0.00,0.00,0.00,
13-Dec-22,15-Dec-22,21:20,10:50,2250,0.00,1.00,1.00,0.00,0.00,broken laptop
16-Dec-22,16-Dec-22,10:05,13:45,220,0.00,1.00,0.00,0.00,0.00,
16-Dec-22,19-Dec-22,19:10,22:00,4490,0.00,1.00,1.00,0.00,0.00,broken laptop
21-Dec-22,21-Dec-22,12:00,21:30,570,0.00,1.00,0.00,0.00,0.00,
24-Dec-22,26-Dec-22,17:35,11:05,2490,0.00,1.00,1.00,0.00,2.00,neighbor
30-Dec-22,30-Dec-22,10:50,18:00,430,1.00,0.00,0.00,0.00,0.00,
6-Jan-23,7-Jan-23,13:40,9:50,1210,0.00,1.00,0.00,1.00,0.00,
8-Jan-23,8-Jan-23,14:00,19:30,330,0.00,1.00,0.00,0.00,0.00,
